CANDIDATE,TIPO,PAIS,URL,DECISION,WHY,EVIDENCE,SOURCE_ID,STATUS,O_QUE_FALTA
ARTA Abruzzo,BASE_OFICIAL,IT,https://www.artaabruzzo.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-020,PROMOVIDA,
Regione Abruzzo — Agricoltura,BASE_OFICIAL,IT,https://www.regione.abruzzo.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-010,PROMOVIDA,
ARPA Basilicata,BASE_OFICIAL,IT,https://www.arpab.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-023,PROMOVIDA,
ARPACAL Calabria,BASE_OFICIAL,IT,https://www.arpacal.it/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = PASS (92.2/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: ARPACAL · ancora: titulo da pagina: ARPACAL,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou; frequencia de actualizacao, nunca medida"
ARSAC Calabria — Azienda Regionale per lo Sviluppo dell'Agricoltura Calabrese,BASE_OFICIAL,IT,https://www.arsac.calabria.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T1-006,PROMOVIDA,
Calabria — Dipartimento Agricoltura,BASE_OFICIAL,IT,https://www.regione.calabria.it/website/portaltemplates/view/view.cfm?21,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dominio .it e conteudo em italiano; endereco responde HTTP 200; portao 7D = REVIEW (78/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: L'Assessore regionale Musmanno ha scritto alla Direzione reg · data visivel: 2015-09-25 · ancora: titulo da pagina: L'Assessore regionale Musmanno h,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
ARPA Campania,BASE_OFICIAL,IT,https://www.arpacampania.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T2-006,PROMOVIDA,
Borsa Merci Bologna — Camera di Commercio,BASE_OFICIAL,IT,https://www.bo.camcom.gov.it/,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T10-009,PROMOVIDA,
Emilia-Romagna — Servizio Fitosanitario,BASE_OFICIAL,IT,https://agricoltura.regione.emilia-romagna.it/fitosanitario,JA_REGISTADA,o atlas ja tem ficha para este endereco,docs/fontes/ATLAS-DE-FONTES-EAME.md,IT-T3-013,PROMOVIDA,
Fitogest — banca dati agrofarmaci,BASE_OFICIAL,IT,https://fitogest.imagelinenetwork.com/,EM_ANALISE,"prova de existencia, nao de entrega: dono PROVED_DIRECT; pais: SIM — dono italiano identificado na pagina; endereco responde HTTP 200; portao 7D = REVIEW (83/100). Falta o degrau que o atlas exige para virar ficha.",HTTP 200 · titulo: Agrofarmaci e prodotti per un'agricoltura sostenibile | Fito · data visivel: 2018-11-01 · ancora: titulo da pagina: Agrofarmaci e prodotti per un'ag,,EM_ANALISE,"um item real da fonte, aberto e identificado como o atlas exige das 140 ja registadas: endereco proprio do item, tipo, titulo, HTTP, content-type, bytes e data visivel. A sonda de 14/09 leu o titulo da pagina de entrada e parou"
