ORDEM;ACCAO;SOURCE_ID;ESTADO;SOURCE_NAME;SOURCE_OWNER;COUNTRY;TERRITORY;URL;NO_ATLAS_CORRENTE;IRMAOS_MESMA_FONTE;N_CITACOES;FIRST_ASSIGNMENT_DATE;FIRST_ASSIGNMENT_COMMIT;FIRST_ASSIGNMENT_BRANCH;N_VERSOES_QUE_O_SUSTENTAM;DIVERGENCIAS;PORQUE
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;IT-T13-005;ORFAO_USADO_SEM_FICHA;;;;T13;;NAO;;6;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;IT-T13-004;ORFAO_USADO_SEM_FICHA;;;;T13;;NAO;;6;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;IT-T13-003;ORFAO_USADO_SEM_FICHA;;;;T13;;NAO;;6;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;IT-T13-002;ORFAO_USADO_SEM_FICHA;;;;T13;;NAO;;6;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;IT-T12-001;ORFAO_USADO_SEM_FICHA;;;;T12;;NAO;;29;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;IT-T1-024;ORFAO_USADO_SEM_FICHA;;;;T1;;NAO;;7;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;EU-T9-001;ORFAO_USADO_SEM_FICHA;;;;T9;;NAO;;10;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;ES-T9-999;ORFAO_USADO_SEM_FICHA;;;;T9;;NAO;;16;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;ES-T9-002;ORFAO_USADO_SEM_FICHA;;;;T9;;NAO;;13;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
0;NAO TOCAR — IDENTIDADE GASTA SEM REGISTO;ES-T6-001;ORFAO_USADO_SEM_FICHA;;;;T6;;NAO;;69;NAO SEI;;;0;;este numero e' USADO pelo sistema e NUNCA foi declarado em ficha nenhuma. Nao e' perda de reconciliacao — e' um buraco anterior a ela. ⚠️ O numero esta GASTO: reatribui-lo faria as referencias existentes apontarem para a fonte nova. Registar a ficha que falta e' trabalho de outra missao.
